0	-0.216058
1	-0.274527
2	-0.406900
3	-0.473173
4	-0.629805
5	-0.376259
6	-0.789733
7	0.200370
8	-0.380038
9	-0.301710
10	0.066871
11	-0.367330
12	-0.616604
13	-0.115328
14	-0.135897
15	-0.170727
16	-0.795421
17	0.392732
18	0.074484
19	-0.080621
20	-0.094457
21	0.897531
22	0.795965
23	0.033657
24	1.135218
25	1.584792
26	0.753020
27	1.127688
28	-0.085766
29	0.072239
30	0.185562
31	0.392822
32	0.521993
33	1.592211
34	0.455651
35	0.455124
36	0.160977
37	0.123018
38	0.064137
39	0.213563
40	0.636271
41	-0.223143
42	-0.043497
43	1.019204
44	0.233289
45	0.141240
46	0.005232
47	0.352010
48	-0.124457
49	0.861655
