0	-0.769647
1	0.032660
2	-0.057343
3	-0.170199
4	-0.675814
5	-0.629300
6	-0.179774
7	0.052724
8	-0.514676
9	-0.315053
10	-0.089083
11	-0.085737
12	-0.046947
13	0.029633
14	0.046198
15	-0.393683
16	-0.418819
17	0.033229
18	-0.062153
19	0.046508
20	0.472047
21	1.073192
22	1.302378
23	-0.032791
24	0.489166
25	-0.060176
26	0.529979
27	0.075339
28	0.318062
29	0.800955
30	0.121007
31	0.067787
32	0.522854
33	0.477635
34	1.211144
35	-0.026501
36	0.331918
37	0.686080
38	1.459003
39	0.386192
40	0.282102
41	0.094510
42	-0.120838
43	0.052728
44	0.438111
45	0.051677
46	-0.032947
47	0.075366
48	-0.031783
49	0.159388
