761	50	40	0.5
3	0	0
1	0	0
17	0	0
26	0	0
18	0	0
3	1	0
1	1	0
17	1	0
26	1	0
18	1	0
3	2	1
1	2	0
17	2	0
26	2	0
18	2	0
3	3	1
1	3	0
17	3	0
26	3	0
18	3	0
3	4	0
1	4	0
17	4	0
26	4	0
18	4	0
3	5	1
1	5	0
17	5	0
26	5	0
18	5	0
3	6	1
1	6	0
17	6	0
26	6	0
18	6	1
3	7	0
1	7	0
17	7	0
26	7	1
18	7	0
3	8	1
1	8	1
17	8	1
26	8	0
18	8	0
3	9	1
1	9	1
17	9	0
26	9	0
18	9	0
3	10	1
1	10	0
17	10	0
26	10	1
18	10	0
3	11	1
1	11	0
17	11	1
26	11	0
18	11	0
3	12	1
1	12	0
17	12	0
26	12	1
18	12	0
3	13	0
1	13	0
17	13	0
26	13	0
18	13	0
3	14	0
1	14	0
17	14	0
26	14	0
18	14	0
3	15	1
1	15	1
17	15	0
26	15	1
18	15	0
3	16	1
1	16	0
17	16	0
26	16	0
18	16	0
3	17	0
1	17	0
17	17	0
26	17	1
18	17	1
3	18	0
1	18	1
17	18	0
26	18	0
18	18	0
3	19	0
1	19	0
17	19	1
26	19	0
18	19	0
3	20	0
1	20	0
17	20	1
26	20	1
18	20	0
3	21	0
1	21	1
17	21	1
26	21	1
18	21	1
3	22	0
1	22	0
17	22	1
26	22	1
18	22	1
3	23	1
1	23	1
17	23	0
26	23	1
18	23	1
3	24	0
1	24	0
17	24	1
26	24	1
18	24	1
3	25	1
1	25	1
17	25	1
26	25	0
18	25	0
3	26	0
1	26	0
17	26	1
26	26	1
18	26	1
3	27	0
1	27	0
17	27	1
26	27	1
18	27	1
3	28	1
1	28	1
17	28	1
26	28	1
18	28	1
3	29	0
1	29	0
17	29	1
26	29	1
18	29	1
3	30	0
1	30	0
17	30	1
26	30	1
18	30	0
3	31	0
1	31	1
17	31	0
26	31	1
18	31	0
3	32	0
1	32	1
17	32	1
26	32	1
18	32	0
3	33	0
1	33	0
17	33	0
26	33	1
18	33	0
3	34	0
1	34	1
17	34	1
26	34	1
18	34	1
3	35	0
1	35	0
17	35	1
26	35	0
18	35	1
3	36	0
1	36	0
17	36	0
26	36	1
18	36	0
3	37	0
1	37	0
17	37	0
26	37	0
18	37	1
3	38	0
1	38	1
17	38	1
26	38	1
18	38	1
3	39	0
